feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,target
-0.8589,32.0681,0.8988,-0.9199,3.233,0.8989,-0.6383,16910,187.9845,522,-0.4012,-0.0372,0.0682,0.168,98.56,25
-0.3604,16.195,1.4917,-1.0816,-0.5577,1.4918,0.7571,8370,155.7592,1164,0.262,0.0356,0.1224,0.719,59.776,67
0.3321,11.0785,0.5486,-0.3012,-0.5602,0.5487,-0.6599,17204,189.514,1440,0.1922,0.4314,0.1546,0.8879,33.4151,86
-0.9664,-18.9944,-0.9897,-1.2719,0.1397,-0.9896,-2.0511,16016,182.5419,166,0.4422,1.7373,0.0238,1.206,56.5375,5
-0.5001,46.4172,0.9271,0.7189,-0.6647,0.9272,-0.734,19998,203.7299,2450,0.3864,2.0814,0.2525,-0.1641,14.0241,122
-3.1294,51.4329,-0.5961,-1.3634,-0.027,-0.596,-0.8095,9660,164.1299,2996,0.8916,0.8661,0.2593,1.606,4.0693,179
0.489,13.1898,0.0504,0.27,-0.6883,0.0505,2.1164,11592,168.6814,2260,-1.5643,0.0573,0.1754,-0.5877,51.474,159
-0.3013,-1.1722,-1.6225,0.5996,0.1919,-1.6224,0.5235,8848,156.4218,1034,0.4285,0.3297,0.1158,-1.5591,86.2761,55
-1.4358,17.1538,0.2852,0.9102,-2.2012,0.2853,2.124,11454,166.8535,2266,-0.2868,0.4167,0.2115,-0.3196,23.8387,133
-0.9022,2.6862,0.2106,0.6285,-0.6422,0.2107,1.4493,16104,182.7878,348,-1.0102,-0.0788,0.0455,1.2072,96.3795,11
0.4015,33.6756,-1.8922,-0.8758,1.0888,-1.8921,-1.3537,17199,190.7902,2222,-0.1574,-1.2641,0.2157,-0.1066,14.0241,137
-1.8551,14.8222,-0.3793,-0.8421,-0.6971,-0.3792,0.5745,15189,183.017,2332,-3.8454,0.4117,0.2056,-0.9338,23.8387,124
-0.6633,20.5002,1.273,0.0639,0.9257,1.2731,1.0243,14842,181.5398,3024,-1.2977,2.0398,0.2569,1.2149,-15.8623,211
-0.1768,25.5121,-0.4563,-0.2064,0.8908,-0.4562,2.2354,10304,160.6611,980,-0.4448,-0.4073,0.101,0.0123,94.6013,58
0.4635,24.8291,-1.1782,-0.2538,0.847,-1.1781,0.0957,17484,189.3228,2544,0.5515,0.3436,0.2243,-0.3819,14.0241,138
-1.3126,34.1887,0.0374,-1.4775,0.4098,0.0375,-0.2404,10269,161.2824,1104,0.3421,-1.422,0.129,-0.7337,74.5113,59
1.1385,3.9319,-0.0561,-0.1443,0.6211,-0.056,-0.2396,13024,175.7132,910,1.6991,0.1874,0.1087,-0.2006,90.8927,31
1.1418,46.2183,0.2767,0.2961,-2.3302,0.2768,-1.5061,8305,152.0685,3219,-0.4619,-0.1745,0.2589,0.8251,-15.8623,203
-0.2195,1.8278,0.5329,-0.6086,-0.4482,0.533,-0.4287,9322,156.637,1128,0.6604,-0.4272,0.1263,0.0175,74.5113,55
-0.9979,14.1944,0.748,-0.1244,2.3151,0.7481,0.93,16830,186.9725,1536,-0.489,1.1953,0.1649,-2.4311,33.4151,81
-0.3729,16.5806,1.4189,1.3308,-1.2555,1.419,0.3023,11760,166.7264,498,0.5814,1.2228,0.0714,-0.5526,98.56,21
-0.7,46.842,0.418,1.2315,-1.6645,0.4181,0.0084,12110,173.2571,2943,-2.0425,1.29,0.2455,-0.164,-5.9261,169
1.9894,43.0316,1.7864,1.471,0.9087,1.7865,0.4211,12040,172.981,2652,-0.2663,0.3425,0.2524,1.9437,-15.8623,139
1.6522,-26.1201,1.3065,0.3558,-0.8022,1.3066,1.0243,12528,171.1542,616,0.4171,-0.179,0.0787,0.0854,97.3645,34
-0.9307,31.5248,-0.3194,-0.4267,0.4972,-0.3193,1.7464,19493,194.6326,1638,0.6756,-0.6969,0.1957,-0.6525,51.474,100
-3.1909,5.8049,-0.7202,1.8661,2.0631,-0.7201,1.0434,19107,193.4281,968,0.2763,0.7403,0.1236,-0.1633,80.7973,43
0.3112,-1.5907,-0.3897,1.6737,-0.2178,-0.3896,-2.0208,18236,195.1778,2346,-1.0882,-0.8212,0.2233,0.2752,14.0241,138
-0.1594,25.6189,-0.5577,0.2409,0.3054,-0.5576,-0.7523,10790,165.0875,1862,-1.2391,-0.3866,0.1919,-0.3514,51.474,98
-0.7289,33.1376,-1.1038,0.0772,-0.0505,-1.1037,-0.2239,15036,180.8115,3306,-1.9666,-0.659,0.2522,0.9761,14.0241,260
0.6034,10.1864,-1.1769,-1.1547,-0.4422,-1.1768,0.1762,9638,155.6506,1044,-0.1888,0.7884,0.1364,0.7727,80.7973,50
1.2067,33.9213,1.2348,-0.4096,-0.9042,1.2349,0.7766,14924,180.6848,2968,0.0393,-0.0187,0.2617,-0.2842,4.0693,166
-0.9788,16.6027,-0.852,0.5848,-0.7837,-0.8519,0.7594,8415,152.6622,1056,-0.7421,-0.1992,0.1134,0.3653,74.5113,53
0.1347,11.1664,-1.0438,-0.7881,1.4192,-1.0437,-0.2457,17381,192.3196,672,-0.2874,-0.7672,0.0941,0.9644,94.6013,24
-0.0429,16.6531,1.766,-0.1965,1.195,1.7661,-0.4166,19107,191.6808,1274,-0.107,-0.1408,0.1313,0.4757,33.4151,63
-0.5771,19.0601,0.2624,1.1504,1.3745,0.2625,-0.9636,10890,167.5531,2375,0.1982,-0.6329,0.2604,-0.1379,23.8387,122
0.3194,25.6532,1.008,0.2334,-0.1972,1.0081,-1.3553,18718,188.3034,2970,-1.6194,0.3468,0.2432,-0.8222,-15.8623,204
0.7377,5.8045,0.1833,0.1496,1.6221,0.1834,0.4547,8792,158.9731,1034,0.0905,-1.64,0.1158,-0.4003,80.7973,53
0.0302,8.6165,0.8591,0.6889,-0.1475,0.8592,1.9915,17572,193.499,528,0.0059,-0.1105,0.0674,-0.7084,98.56,22
0.3911,34.5434,-0.0098,1.7004,0.4117,-0.0097,0.6994,11658,176.1072,2544,0.4243,-2.3011,0.2243,0.2525,23.8387,157
-3.1563,23.4629,0.6149,-1.5576,-1.0815,0.615,0.9983,15910,187.464,1488,1.2465,0.2555,0.1702,0.842,51.474,79
-0.1314,-17.0001,-1.0788,0.1765,-0.9074,-1.0787,1.1231,13398,172.7204,1919,-1.8262,0.6714,0.1863,-0.9809,23.8387,99
-0.8784,9.7954,0.2699,-0.0487,1.2885,0.27,0.3139,13528,176.2629,243,-0.0676,2.144,0.0366,0.7783,71.7975,7
-0.29,30.6371,0.3245,-1.0201,-0.1336,0.3246,0.3103,10890,164.6392,720,0.9188,-1.6861,0.1111,1.2735,80.7973,36
1.0174,31.2823,-0.3807,1.2709,0.6182,-0.3806,-0.1202,16744,184.1768,2678,0.0373,-0.52,0.25,0.6658,4.0693,192
0.1474,33.9933,0.0449,0.4345,-0.5267,0.045,-0.9437,13552,179.1791,2496,2.7371,-1.8451,0.2286,-0.9723,-5.9261,133
-0.2225,11.7068,0.559,0.1908,1.0922,0.5591,0.0564,11154,169.9574,552,-0.2385,1.382,0.0645,-1.0471,97.3645,29
0.1725,46.9176,0.9069,-0.061,0.6994,0.907,0.172,9120,159.0756,2373,-0.5105,-0.8517,0.1842,0.1212,14.0241,152
1.3749,-20.6578,0.9047,0.2499,-0.3338,0.9048,-0.0353,11036,177.2794,656,0.3365,-0.4434,0.0964,1.21,90.8927,30
-2.4236,12.7846,-0.5212,0.3897,1.2211,-0.5211,0.0217,15725,187.3546,1649,-0.4985,-0.1664,0.1735,-0.8931,59.776,73
-1.8846,-7.8114,-0.5296,-0.4441,0.0668,-0.5295,-0.2816,8736,155.2614,2002,-0.78,0.8853,0.2391,-0.2026,33.4151,99
-0.6625,12.2951,0.3886,0.9842,0.0788,0.3887,1.5933,12212,167.3462,2438,-1.279,0.2485,0.215,0.1939,4.0693,145
-0.287,-7.0756,-0.8054,2.1786,0.5694,-0.8053,0.2214,20503,202.5125,276,-0.9054,1.9632,0.0323,-1.3588,84.1951,14
0.2879,-2.6757,1.1048,-0.1639,-1.3184,1.1049,0.401,16269,190.4309,752,0.3294,-0.8263,0.0842,-0.1178,97.3645,39
-0.8883,11.3391,-1.4226,-0.4372,-0.1688,-1.4225,-0.2038,13860,180.8242,1824,-0.5726,-0.9776,0.1959,-0.3696,14.0241,110
0.7438,-19.5725,-0.4266,1.5683,1.2536,-0.4265,1.3496,7752,152.1447,162,-0.3151,-0.3532,0.0244,-0.7956,29.6369,7
-1.4974,21.1943,-0.4064,0.9351,0.9871,-0.4063,-0.6603,18330,197.9615,1908,-0.8766,-0.6975,0.1682,-1.5516,42.6577,101
-0.7075,7.7273,0.1828,-1.9475,-2.3762,0.1829,-0.1901,16910,187.5784,150,-0.6009,-1.7317,0.0263,-0.1063,10.0717,7
0.9578,10.2286,-1.1957,0.037,-0.1364,-1.1956,-0.5763,11999,166.4747,900,-1.8132,1.4522,0.1099,0.5569,86.2761,48
1.618,13.4945,-1.4848,0.349,0.226,-1.4847,-0.0939,14480,177.2009,2016,0.8638,-0.2682,0.2165,-0.9378,33.4151,95
-0.3208,20.3096,0.3395,0.5176,0.3332,0.3396,-0.7267,10368,161.793,2205,0.5519,0.571,0.1981,-1.4961,33.4151,132
1.0215,36.1523,-0.5495,-0.4098,1.1041,-0.5494,0.3249,11799,173.3795,2140,-0.3094,-0.9279,0.1852,-0.5492,51.474,125
1.5835,35.1523,-0.2292,-0.3621,0.5578,-0.2291,-0.3948,13706,177.7954,1746,0.1131,-0.6587,0.1837,-0.1354,23.8387,94
-1.845,27.6391,0.3428,0.3593,-0.4624,0.3429,-0.1744,15921,183.1203,890,0.1152,-0.7116,0.1111,1.3005,74.5113,53
1.189,4.3921,-0.4219,2.4712,-0.1555,-0.4218,-1.2651,18915,195.4751,704,0.1075,0.5413,0.0899,-1.31,86.2761,28
0.5163,28.0728,0.3283,0.1756,0.7622,0.3284,-0.2797,8215,156.0461,2958,1.0944,-1.0346,0.2816,0.0241,-5.9261,185
-0.1958,20.5382,-0.1513,-0.8368,-0.1029,-0.1512,-1.3553,9454,165.4087,850,-1.239,-0.871,0.1163,-0.0742,51.474,41
-0.3471,20.7976,2.0571,0.2927,-0.8706,2.0572,-0.8204,11661,170.9143,1305,-0.4887,-0.1393,0.1705,0.605,74.5113,61
-0.3474,-5.8792,-0.3833,-0.5142,0.772,-0.3832,-0.2297,13416,172.6607,316,-0.7473,-0.8741,0.05,-0.2662,89.161,12
-0.2932,-11.7269,-1.082,0.5102,-1.1872,-1.0819,0.8477,8478,155.3401,1080,1.2392,0.0435,0.1319,-0.8463,80.7973,63
1.1387,11.6164,1.6328,-0.2282,-0.7928,1.6329,1.3329,15023,181.807,2916,-1.8222,-1.6501,0.2477,-0.3303,14.0241,184
1.2211,33.5196,-0.5048,-0.9103,-0.8371,-0.5047,0.7226,19500,196.6829,3500,2.1244,-1.7111,0.2222,1.1763,4.0693,242
0.283,4.0896,1.0813,-0.7715,0.7755,1.0814,-0.2882,8690,157.5565,1246,-0.8215,-0.1392,0.1556,-0.4614,67.4808,65
-0.048,-2.9157,0.5128,-0.0083,-1.8971,0.5129,-0.7622,13072,172.7176,3306,-0.507,-0.18,0.2522,0.4911,-5.9261,223
-1.8067,24.2159,-0.4823,-0.1202,0.4094,-0.4822,2.1222,12950,171.9536,1365,1.4865,0.6632,0.163,-0.3468,51.474,63
-0.1305,7.9655,-0.4502,-1.4975,-0.2139,-0.4501,-0.4868,10816,167.8696,252,-0.924,0.169,0.0353,-0.8059,64.4897,12
-1.3197,21.7326,1.0254,0.1009,0.4265,1.0255,0.9059,9263,156.2648,828,-2.002,-0.0511,0.0968,0.5552,94.6013,44
1.1245,23.7395,-0.2419,0.7519,0.0775,-0.2418,0.6866,13528,177.0485,3180,0.1843,0.255,0.2804,2.0144,23.8387,166
2.6096,23.4025,0.3891,-0.3106,-0.7432,0.3892,-1.0324,9699,156.0007,920,-1.4699,1.0434,0.1075,1.6094,90.8927,51
-1.1151,45.5071,1.2832,0.5058,-2.3145,1.2833,-0.7713,15480,181.4157,2912,0.6129,0.4675,0.2667,-0.4318,14.0241,163
